Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2023;Abr - Jun;Gastos de Personal;Pesos;0;0;0;9.659.955;38.783.134;41.642.641;0;0;0;0;0;0
2023;Abr - Jun;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;0;0;0;13.507.214;52.507.554;32.344.288;0;0;0;0;0;0
2023;Abr - Jun;Gastos por Prestamos corto plazo;Pesos;0;0;0;0;8.368.932;4.294.334;0;0;0;0;0;0
2023;Abr - Jun;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Abr - Jun;Otros gastos de Administración;Pesos;0;0;0;2.372.173;7.460.922;5.536.719;0;0;0;0;0;0
2023;Abr - Jun;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Abr - Jun;Actividades de Educación Cívica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Abr - Jun;Actividades de Fomento a Participación Femenina;Pesos;0;0;0;0;953.356;2.055.606;0;0;0;0;0;0
2023;Abr - Jun;Actividades de Fomento a Participación Juvenil;Pesos;0;0;0;480.037;2.593.410;2.515.894;0;0;0;0;0;0
2023;Abr - Jun;Creditos corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Abr - Jun;Creditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Abr - Jun;Inversiones;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Abr - Jun;Valores de Operacion de Capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Abr - Jun;Preparación de candidatos (eleccion popular);Pesos;0;0;0;2.100.000;0;0;0;0;0;0;0;0
2023;Abr - Jun;Preparacion de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Abr - Jun;Honorarios Campaña;Pesos;0;0;0;3.230.000;2.304.600;0;0;0;0;0;0;0
2023;Abr - Jun;Publicidad Electoral;Pesos;0;0;0;62.962.072;74.669.497;0;0;0;0;0;0;0
2023;Abr - Jun;Gastos Menores Campaña;Pesos;0;0;0;270.810;305.600;0;0;0;0;0;0;0
2023;Abr - Jun;Material Grafico Campaña;Pesos;0;0;0;0;4.470.235;0;0;0;0;0;0;0
2023;Abr - Jun;Otros gastos Electorales;Pesos;0;0;0;710.787;2.781.362;0;0;0;0;0;0;0
2023;Abr - Jun;Transferencias entre cuentas;Pesos;0;0;0;0;170.592;0;0;0;0;0;0;0
2023;Abr - Jun;Provisión de finiquito;Pesos;0;0;0;0;0;3.086.000;0;0;0;0;0;0
2023;Abr - Jun;Activo fijo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Abr - Jun;Anticipo Proveedores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Abr - Jun;Cheque en Garantía;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
