Periodo;Dependientes;Imponible;CotizObligatoria;Tipo;FechaPago;Vencimiento;AtrasoDias
01/2023;4;4331186;1483551;pago;2023-02-10;2023-02-13;-3
02/2023;4;4364914;1392855;pago;2023-03-10;2023-03-13;-3
04/2023;4;5215425;1688889;pago;2023-05-12;2023-05-13;-1
05/2023;4;5243828;3382116;pago;2023-06-12;2023-06-13;-1
06/2023;4;3892537;1501639;pago;2023-07-13;2023-07-13;0
07/2023;4;4592537;1795454;pago;2023-08-17;2023-08-13;4
08/2023;4;4592537;1850585;DNP;2023-11-08;2023-09-13;56
09/2023;4;4494537;1750298;DNP;2023-12-11;2023-10-13;59
10/2023;4;5092537;1734404;DNP;2023-12-12;2023-11-13;29
11/2023;4;4847537;1835450;DNP;2023-12-27;2023-12-13;14
12/2023;4;5392537;1848142;DNP;2024-01-17;2024-01-13;4
01/2024;4;7162537;1857952;pago;2024-02-27;2024-02-13;14
02/2024;5;2143670;440750;pago;2024-03-21;2024-03-13;8
03/2024;5;5192537;1704722;DNP;2024-05-23;2024-04-13;40
04/2024;5;5175870;1701971;DNP;2024-08-19;2024-05-13;98
06/2024;5;5392537;3456986;DNP;2024-11-27;2024-07-13;137
07/2024;5;5392537;1759050;DNP;2024-12-02;2024-08-13;111
08/2024;5;5392537;3493150;DNP;2024-12-02;2024-09-13;80
09/2024;5;4762537;1778706;pago;2025-04-11;2024-10-13;180
10/2024;5;5432537;3478582;DNP;2024-12-02;2024-11-13;19
11/2024;5;5695537;1773354;pago;2024-12-03;2024-12-13;-10
12/2024;5;6554583;1845266;DNP;2025-01-14;2025-01-13;1
01/2025;5;6043267;1786933;pago;2025-02-10;2025-02-13;-3
02/2025;5;5843267;1681806;pago;2025-03-10;2025-03-13;-3
03/2025;5;5843267;1789439;pago;2025-04-10;2025-04-13;-3
04/2025;5;5487727;3623624;pago;2025-05-10;2025-05-13;-3
05/2025;5;5487727;1940461;pago;2025-06-04;2025-06-13;-9
06/2025;5;5487727;1980737;DNP;2025-07-15;2025-07-13;2
07/2025;5;5183626;1941887;DNP;2025-10-16;2025-08-13;64
08/2025;5;9153575;2647441;DNP;2025-10-30;2025-09-13;47
09/2025;5;6687500;2302971;DNP;2026-02-05;2025-10-13;115
10/2025;5;6362500;2188403;DNP;2026-02-26;2025-11-13;105
11/2025;5;6362500;1716967;DNP;2026-03-18;2025-12-13;95
12/2025;5;7318729;3488808;DNP;2026-04-03;2026-01-13;80
01/2026;5;7006000;2033250;DNP;2026-02-26;2026-02-13;13
02/2026;5;7006000;2033250;pago;2026-04-05;2026-03-13;23
03/2026;5;7206000;2081474;DNP;2026-05-26;2026-04-13;43
04/2026;5;7206000;2170531;DNP;2026-05-26;2026-05-13;13
05/2026;5;7206000;2104706;pago;2026-06-12;2026-06-13;-1
