Periodo;Documentos;Neto;Total
2022-01;22;1,027,672;1,929,952
2022-02;14;662,412;1,290,947
2022-03;36;48,702,011;59,076,035
2022-04;27;7,140,336;9,002,056
2022-05;25;4,095,909;6,178,924
2022-06;38;9,833,780;19,960,878
2022-07;56;57,810,221;103,183,626
2022-08;85;83,809,046;156,902,341
2022-09;45;43,536,616;118,455,391
2022-10;42;8,134,580;25,471,650
2022-11;37;8,132,829;23,969,540
2022-12;30;2,118,679;80,429,789
2023-01;35;4,398,643;24,751,852
2023-02;26;6,398,565;9,463,945
2023-03;36;50,455,649;71,840,045
2023-04;51;215,055,049;309,295,692
2023-05;47;351,186,108;431,065,924
2023-06;47;17,585,979;35,755,904
2023-07;38;18,218,671;34,599,405
2023-08;24;7,611,717;18,779,940
2023-09;37;29,866,675;37,752,627
2023-10;30;15,841,061;39,045,084
2023-11;60;142,618,931;229,627,680
2023-12;94;81,434,891;201,668,368
2024-01;56;48,326,298;79,024,147
2024-02;24;10,989,060;16,522,026
2024-03;33;14,154,601;26,844,184
2024-04;32;2,299,368;14,572,306
2024-05;38;14,015,036;28,957,850
2024-06;31;7,124,647;18,410,262
2024-07;36;3,937,566;20,752,460
2024-08;34;4,874,856;18,835,584
2024-09;37;1,873,841;75,174,382
2024-10;46;49,129,625;116,079,953
2024-11;43;13,990,251;51,279,259
2024-12;47;7,959,088;31,503,923
2025-01;62;26,952,319;45,075,851
2025-02;36;11,700,302;19,672,116
2025-03;39;9,303,663;23,797,734
2025-04;30;3,693,747;22,916,266
2025-05;36;5,243,162;45,782,147
2025-06;64;44,269,725;271,138,981
2025-07;43;10,593,364;41,709,582
2025-08;39;8,289,108;22,848,127
2025-09;32;7,089,153;117,056,279
2025-10;34;7,119,222;33,078,806
2025-11;43;52,202,968;178,830,581
2025-12;24;1,758,386;2,951,490
2026-01;27;3,487,388;22,759,360
2026-02;23;8,352,840;10,102,678
