Item;2019;2020;2021;2022;2023;2024;2025;2026
Adquisición de BB y SS;0;0;0;0;0;0;0;0
Aporte Eléctoral;0;0;0;0;0;0;0;0
Aporte Eléctoral Alcalde;0;0;0;0;0;551598045;0;0
Aporte Eléctoral Concejales;0;0;0;0;0;833617576;0;0
Aporte Eléctoral Consejeros Regionales;0;0;0;0;0;658824228;0;0
Aporte Eléctoral Gobernadores Regionales;0;0;0;0;0;165736445;0;0
Aportes del Estado (art. 33 bis Ley N°18603);513329454;354582991;176753949;522870622;345788634;549691607;0;0
Aportes estatales regulados en la Ley N° 18.603;0;0;0;0;0;0;0;134371440
Aportes personas naturales;4998000;3197260;940500;2206330;9853723;200000;0;0
Cheque depositado por caja;0;0;0;0;0;0;0;67872685
Cuantía global de las cuotas y aportes de sus afiliados;0;0;0;0;0;0;0;32672450
Cuotas y aportes de afiliados;147644345;137606371;78160587;92838032;400866223;901581422;185729458;0
Devoluciones;0;0;0;0;516759;0;0;0
Devolución Adquisición de BB y SS;0;0;0;0;0;1885138;1640000;0
Devolución Fondos Por Rendir;0;0;0;0;0;2214988;1109124;0
Devolución Garantía;0;0;0;0;0;1475600;0;0
Devolución Transferencia errónea;0;0;0;0;0;28381858;0;0
Devolución por campaña;0;0;0;0;0;16575941;2686142;0
Devolución saldo campaña;0;0;0;0;137494;0;0;0
Otros Ingresos;0;0;0;0;0;0;0;0
Otros ingresos;0;10430740;80869724;13616332;266039003;3956328;0;0
Otros ingresos campaña;0;0;0;0;527272432;0;0;0
Otros ingresos para devolución;0;0;0;0;0;9124363;0;0
Prestamo corto plazo;0;0;0;0;0;39000000;0;0
Provision finiquitos;0;0;0;0;533324432;0;0;0
Reembolso Electoral;0;0;0;0;12077463;0;0;0
Reembolso campaña;0;0;0;0;527179146;0;0;0
Reembolsos Fondos;0;0;0;0;1706684;0;0;0
Remanente Electoral;0;0;0;0;0;212270172;0;0
Rendimiento por actividades;0;0;0;0;0;0;0;0
Rendimientos de patrimonio;262190875;356440466;70038671;147781727;263255951;740705008;162362673;0
Rendimientos procedentes de su propio patrimonio;0;0;0;0;0;0;0;55310441
Reversa Movimiento;0;0;0;0;0;0;22500000;0
Reversa Partidas;0;0;0;0;580899574;0;0;0
Transferencia entre cuentas;0;0;0;0;529430002;259165654;17750000;25957101
