anio;Item;m
2016;Aportes del Estado (art. 33 bis Ley N°18603);85232047
2016;Asignaciones testamentarias;0
2016;Cotizaciones;49736945
2016;Donaciones;0
2016;Frutos y productos de los Bienes Patrimoniales;0
2016;Otras Transferencias privadas;0
2016;Otras Transferencias públicas;8992324
2017;Aportes del Estado (art. 33 bis Ley N°18603);339261091
2017;Asignaciones testamentarias;0
2017;Cotizaciones;196425275
2017;Donaciones;0
2017;Frutos y productos de los Bienes Patrimoniales;0
2017;Otras Transferencias privadas;423434484
2017;Otras Transferencias públicas;26976972
2018;Aportes del Estado (art. 33 bis Ley N°18603);336213382
2018;Asignaciones testamentarias;0
2018;Cotizaciones;121832897
2018;Donaciones;0
2018;Frutos y productos de los Bienes Patrimoniales;501446514
2018;Otras Transferencias privadas;0
2018;Otras Transferencias públicas;586420419
2019;Aportes del Estado (art. 33 bis Ley N°18603);343855174
2019;Asignaciones testamentarias;0
2019;Cotizaciones;128991745
2019;Donaciones;4399300
2019;Frutos y productos de los Bienes Patrimoniales;122601684
2019;Otras Transferencias privadas;0
2019;Otras Transferencias públicas;0
2020;Aportes del Estado (art. 33 bis Ley N°18603);352206684
2020;Asignaciones testamentarias;0
2020;Cotizaciones;102834469
2020;Donaciones;4766410
2020;Frutos y productos de los Bienes Patrimoniales;215742536
2020;Otras Transferencias privadas;0
2020;Otras Transferencias públicas;0
2021;Aportes del Estado (art. 33 bis Ley N°18603);351909148
2021;Asignaciones testamentarias;0
2021;Cotizaciones;99738239
2021;Donaciones;2336948
2021;Frutos y productos de los Bienes Patrimoniales;138004555
2021;Otras Transferencias privadas;56768121
2021;Otras Transferencias públicas;2087513
2022;Aportes del Estado (art. 33 bis Ley N°18603);800695571
2022;Asignaciones testamentarias;0
2022;Cotizaciones;239775134
2022;Donaciones;4600651
2022;Frutos y productos de los Bienes Patrimoniales;190034115
2022;Otras Transferencias privadas;72948141
2022;Otras Transferencias públicas;0
2023;Aportes del Estado (art. 33 bis Ley N°18603);512429988
2023;Asignaciones testamentarias;0
2023;Cotizaciones;302516342
2023;Devolucion saldos de campaña;13357
2023;Donaciones;6616323
2023;Frutos y productos de los Bienes Patrimoniales;190093625
2023;Otras Transferencias privadas;12151196
2023;Otras Transferencias públicas;307511282
2023;Otros ingresos campaña;60000
2023;Provision de finiquitos;3086000
2023;Reposicion de fondos;800842
2023;Reversa movimiento;26873571
2023;Transferencia entre cuentas;2138785
2024;Aportes del Estado (art. 33 bis Ley N°18603);0
2024;Asignaciones testamentarias;0
2024;Cotizaciones;159845962
2024;Devolución Fondos por Rendir;552120
2024;Devolución Garantía (Cementerio);368900
2024;Devolución Transferencia errónea;4620352
2024;Donaciones;0
2024;Frutos y productos de los Bienes Patrimoniales;128593098
2024;Otras Transferencias privadas;8989082
2024;Otras Transferencias públicas (Remanente Electoral);53067543
2024;Otros ingresos para devolución;10000
2024;Transferencia entre cuentas;60586314
2025;Abono por transferencia errónea de tercero;6000000
2025;Aporte Persona Natural a Diputado;100000
2025;Aporte Persona Natural a Presidente;519000
2025;Aporte a campaña presidencial;4210000
2025;Aporte candidata presidencial;310290000
2025;Aportes del Estado (art. 33 bis Ley N°18603);308066873
2025;Asignaciones testamentarias;0
2025;Cheque aclarado;2380000
2025;Cheque reversado;17825837
2025;Cotizaciones;221746054
2025;Crédito con Mandato;480000000
2025;Devolucion transferencia erronea;300000
2025;Devolución Adquisición de BB y SS;820000
2025;Devolución TGR S/ Ingresos de campaña;16341644
2025;Devolución de fondos por rendir;1509124
2025;Devolución por campaña;2267261
2025;Devolución transferencia errónea;5150000
2025;Donaciones;2274670
2025;Excedente electoral candidaturas;4107103
2025;Frutos y productos de los Bienes Patrimoniales;311373295
2025;Mutuo corto plazo;40000000
2025;Otras Transferencias privadas;0
2025;Otras Transferencias públicas;510743028
2025;Reversa Cheque;24880000
2025;Transferencia a Diputados;47000000
2025;Transferencia a Senadores;31500000
2025;Transferencia entre cuentas;32471000
2025;Transferencia entre cuentas para campaña;165500000
2026;Aportes del Estado (art. 33 bis Ley N°18603);134371440
2026;Cheque depositado por caja;67872685
2026;Cotizaciones;32672450
2026;Frutos y productos de los Bienes Patrimoniales;55310441
2026;Transferencia entre cuentas;25957101
