Período;M12 Gastos;Nómina;BHE;RCV;F29 mes1;F29 mes2;F29 mes3;Alertas
2022 Q1 Ene-Mar;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2022 Q2 Abr-Jun;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2022 Q3 Jul-Sep;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2022 Q4 Oct-Dic;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2023 Q1 Ene-Mar;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2023 Q2 Abr-Jun;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2023 Q3 Jul-Sep;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2023 Q4 Oct-Dic;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2024 Q1 Ene-Mar;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2024 Q2 Abr-Jun;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2024 Q3 Jul-Sep;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2024 Q4 Oct-Dic;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2025 Q1 Ene-Mar;SI;SI;3/3;3/3;Vigente;Vigente;Vigente;
2025 Q2 Abr-Jun;SI;SI;3/3;3/3;Vigente;Vigente;;F29 pendiente: 2025-06
2025 Q3 Jul-Sep;SI;SI;3/3;3/3;;;;F29 pendiente: 2025-07, 2025-08, 2025-09
2025 Q4 Oct-Dic;SI;SI;3/3;3/3;;;;F29 pendiente: 2025-10, 2025-11, 2025-12
2026 Q1 Ene-Mar;SI;NO;0/3;2/3;;;;
2026 Q2 Abr-Jun;NO;NO;0/3;0/3;;;;
2026 Q3 Jul-Sep;NO;NO;0/3;0/3;;;;
2026 Q4 Oct-Dic;NO;NO;0/3;0/3;;;;
