Periodo;c1;c2;c3;c4;c5
2016 | Octubre - Diciembre;2016;Oct - Dic;Cotizaciones;Pesos;49.736.945
2016 | Octubre - Diciembre;2016;Oct - Dic;Donaciones;Pesos;0
2016 | Octubre - Diciembre;2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
2016 | Octubre - Diciembre;2016;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;0
2016 | Octubre - Diciembre;2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;85.232.047
2016 | Octubre - Diciembre;2016;Oct - Dic;Otras Transferencias públicas;Pesos;8.992.324
2016 | Octubre - Diciembre;2016;Oct - Dic;Otras Transferencias privadas;Pesos;0
2017 | Enero - Marzo;2017;Ene - Mar;Ordinarias;Pesos;4.872.400
2017 | Enero - Marzo;2017;Ene - Mar;Extraordinarias;Pesos;86.540.710
2017 | Abril - Junio;2017;Abr - Jun;Ordinarias;Pesos;3.329.000
2017 | Abril - Junio;2017;Abr - Jun;Extraordinarias;Pesos;66.693.370
2017 | Julio - Septiembre;2017;Jul - Sep;Ordinarias;Pesos;3.058.200
2017 | Julio - Septiembre;2017;Jul - Sep;Extraordinarias;Pesos;88.372.376
2017 | Octubre - Diciembre;2017;Oct - Dic;Ordinarias;Pesos;1.640.200
2017 | Octubre - Diciembre;2017;Oct - Dic;Extraordinarias;Pesos;45.574.240
2018 | Enero - Marzo;2018;Ene - Mar;Ordinarias;Pesos;2.818.500
2018 | Enero - Marzo;2018;Ene - Mar;Extraordinarias;Pesos;28.725.434
2018 | Abril - Junio;2018;Abr - Jun;Ordinarias;Pesos;7.027.500
2018 | Abril - Junio;2018;Abr - Jun;Extraordinarias;Pesos;24.050.690
2018 | Julio - Septiembre;2018;Jul - Sep;Ordinarias;Pesos;8.861.419
2018 | Julio - Septiembre;2018;Jul - Sep;Extraordinarias;Pesos;32.893.350
2018 | Octubre - Diciembre;2018;Oct - Dic;Ordinarias;Pesos;3.209.900
2018 | Octubre - Diciembre;2018;Oct - Dic;Extraordinarias;Pesos;14.246.104
2019 | Enero - Marzo;2019;Ene - Mar;Ordinarias;Pesos;5.133.800
2019 | Enero - Marzo;2019;Ene - Mar;Extraordinarias;Pesos;21.164.500
2019 | Abril - Junio;2019;Abril - Junio;Ordinarias;Pesos;3.421.320
2019 | Abril - Junio;2019;Abril - Junio;Extraordinarias;Pesos;19.447.130
2019 | Julio - Septiembre;2019;Jul - Sep;Ordinarias;Pesos;3.531.900
2019 | Julio - Septiembre;2019;Jul - Sep;Extraordinarias;Pesos;55.919.545
2019 | Octubre - Diciembre;2019;Oct - Dic;Ordinarias;Pesos;2.941.900
2019 | Octubre - Diciembre;2019;Oct - Dic;Extraordinarias;Pesos;17.431.650
2020 | Enero - Marzo;2020;Ene - Mar;Ordinarias;Pesos;1.970.400
2020 | Enero - Marzo;2020;Ene - Mar;Extraordinarias;Pesos;25.887.770
2020 | Abril - Junio;2020;Abril - Junio;Ordinarias;Pesos;1.004.400
2020 | Abril - Junio;2020;Abril - Junio;Extraordinarias;Pesos;12.350.000
2020 | Julio - Septiembre;2020;Julio - Septiembre;Ordinarias;Pesos;11.989.207
2020 | Julio - Septiembre;2020;Julio - Septiembre;Extraordinarias;Pesos;15.333.854
2020 | Octubre - Diciembre;2020;Octubre - Diciembre;Ordinarias;Pesos;13.740.389
