Periodo;c1;c2;c3;c4;c5;c6;c7
2016 | Gastos efectuados en campaña O;2016;Oct - Dic;Alcaldes;na;Pesos;94.277.798;Aprobado
2016 | Gastos efectuados en campaña O;2016;Oct - Dic;Concejales;na;Pesos;124.115.841;Aprobado
2017 | Gastos efectuados en campaña O;2016;Oct - Dic;Alcaldes;na;Pesos;94.277.798;Aprobado
2017 | Gastos efectuados en campaña O;2016;Oct - Dic;Concejales;na;Pesos;124.115.841;Aprobado
2017 | ENERO - MARZO;2017;Ene - Mar;no aplica;no aplica;Pesos;0;Aprobado
2017 | ABRIL - JUNIO;2017;Abr - Jun;no aplica;no aplica;Pesos;0;Aprobado
2017 | JULIO - SEPTIEMBRE;2017;Jul - Sep;no aplica;no aplica;Pesos;0;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;SESION FOTOGRAFICA CANDIDATOS SENADORES;Pesos;375.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;SERVICIO ADMINISTRADOR ELECTORAL GENERAL;Pesos;611.111;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;TRABAJO ADMINISTRATIVO ELECTORAL OCTUBRE;Pesos;444.444;Aprobado
